aspect1,frequency1,aspect0,frequency0
3.60469037009,397.0,3.7174329760000004,150.0
10.804526928269999,440.0,10.914414128,172.0
18.004363486449996,342.0,18.111395280000004,152.0
25.20420004463,201.0,25.308376432000006,163.0
32.404036602809995,213.0,32.50535758400001,113.0
39.60387316098999,190.0,39.70233873600001,122.0
46.80370971917,139.0,46.89931988800001,84.0
54.00354627735,123.0,54.096301040000014,85.0
61.20338283552999,89.0,61.29328219200001,127.0
68.40321939371,105.0,68.490263344,166.0
75.60305595189,120.0,75.687244496,326.0
82.80289251007,104.0,82.88422564800001,221.0
90.00272906825,137.0,90.08120680000002,332.0
97.20256562643,179.0,97.27818795200001,465.0
104.40240218461,112.0,104.475169104,624.0
111.60223874279001,108.0,111.67215025600001,742.0
118.80207530096999,127.0,118.86913140800002,758.0
126.00191185915,183.0,126.06611256000002,974.0
133.20174841733,193.0,133.26309371200003,988.0
140.40158497551,177.0,140.46007486400003,851.0
147.60142153368997,176.0,147.657056016,819.0
154.80125809187,170.0,154.85403716800005,1252.0
162.00109465005,181.0,162.05101832000003,1284.0
169.20093120822997,132.0,169.24799947200006,1338.0
176.40076776641,118.0,176.44498062400004,1241.0
183.60060432459,121.0,183.64196177600002,1117.0
190.80044088276998,95.0,190.83894292800005,777.0
198.00027744095001,79.0,198.03592408000003,601.0
205.20011399913,95.0,205.23290523200006,479.0
212.39995055730998,120.0,212.42988638400004,451.0
219.59978711549,116.0,219.62686753600002,512.0
226.79962367367,78.0,226.82384868800006,640.0
233.99946023184998,72.0,234.02082984000003,350.0
241.19929679003,53.0,241.21781099200007,271.0
248.39913334821,36.0,248.41479214400005,242.0
255.59896990638998,32.0,255.61177329600002,238.0
262.79880646457,71.0,262.80875444800006,257.0
269.99864302275,141.0,270.0057356,229.0
277.19847958093,165.0,277.202716752,257.0
284.39831613910997,224.0,284.39969790400005,381.0
291.59815269728995,377.0,291.596679056,397.0
298.79798925547,385.0,298.793660208,307.0
305.99782581364997,445.0,305.99064136000004,271.0
313.19766237183,429.0,313.187622512,198.0
320.39749893001,364.0,320.384603664,135.0
327.59733548818997,329.0,327.58158481600003,112.0
334.79717204636995,507.0,334.77856596800007,194.0
341.99700860455,416.0,341.97554712000004,220.0
349.19684516272997,416.0,349.172528272,187.0
356.39668172091,366.0,356.36950942400006,159.0
