aspect1,frequency1,aspect0,frequency0
0.5999996666666667,7032.0,0.5999996666666667,9903.0
1.7999990000000001,8256.0,1.7999990000000001,8666.0
2.9999983333333335,8097.0,2.9999983333333335,8384.0
4.1999976666666665,8018.0,4.1999976666666665,8497.0
5.399997000000001,8007.0,5.399997000000001,8410.0
6.599996333333333,8503.0,6.599996333333333,7915.0
7.799995666666667,8217.0,7.799995666666667,8082.0
8.999995,8598.0,8.999995,7758.0
10.199994333333334,8682.0,10.199994333333334,7333.0
11.399993666666667,8960.0,11.399993666666667,7151.0
12.599993000000001,8227.0,12.599993000000001,7736.0
13.799992333333334,8209.0,13.799992333333334,7768.0
14.999991666666668,8561.0,14.999991666666668,7573.0
16.199991,8672.0,16.199991,7400.0
17.399990333333335,8457.0,17.399990333333335,7665.0
18.599989666666666,8640.0,18.599989666666666,7798.0
19.799989000000004,8998.0,19.799989000000004,7371.0
20.999988333333334,8830.0,20.999988333333334,7508.0
22.19998766666667,8670.0,22.19998766666667,7817.0
23.399987000000003,8608.0,23.399987000000003,7678.0
24.599986333333334,8824.0,24.599986333333334,7480.0
25.799985666666668,8579.0,25.799985666666668,7655.0
26.999985000000002,8762.0,26.999985000000002,7574.0
28.199984333333333,8730.0,28.199984333333333,7456.0
29.39998366666667,8995.0,29.39998366666667,7276.0
30.599983,9338.0,30.599983,7062.0
31.799982333333336,9488.0,31.799982333333336,6903.0
32.99998166666667,9668.0,32.99998166666667,6833.0
34.199981,9782.0,34.199981,6510.0
35.39998033333333,10088.0,35.39998033333333,6510.0
36.59997966666667,10338.0,36.59997966666667,6120.0
37.79997900000001,10230.0,37.79997900000001,6301.0
38.99997833333333,10420.0,38.99997833333333,6129.0
40.19997766666667,10258.0,40.19997766666667,6051.0
41.39997700000001,10441.0,41.39997700000001,6097.0
42.59997633333334,10486.0,42.59997633333334,6250.0
43.79997566666667,10246.0,43.79997566666667,6615.0
44.999975000000006,10241.0,44.999975000000006,6492.0
46.19997433333334,10350.0,46.19997433333334,6181.0
47.39997366666667,10385.0,47.39997366666667,6374.0
48.599973000000006,10495.0,48.599973000000006,6352.0
49.799972333333336,10445.0,49.799972333333336,6380.0
50.99997166666667,10459.0,50.99997166666667,6362.0
52.199971000000005,10382.0,52.199971000000005,6608.0
53.399970333333336,9876.0,53.399970333333336,6822.0
54.59996966666667,9958.0,54.59996966666667,6894.0
55.799969000000004,10094.0,55.799969000000004,6676.0
56.99996833333334,9799.0,56.99996833333334,7314.0
58.199967666666666,9338.0,58.199967666666666,7394.0
59.399967000000004,9760.0,59.399967000000004,7174.0
60.59996633333334,9929.0,60.59996633333334,7144.0
